英文詞彙,詞性,中文解釋
get on (with),phr v,繼續做；與...相處融洽 (片語動詞) (例如: She got on with her work.; I'm getting on well with French.)
get rid of,phr v,擺脫；去除 (片語動詞) (例如: Have you got rid of those old documents?)
get up,phr v,起床；站起來 (片語動詞) (例如: What time do you get up in the morning?)
giant,adj,巨大的 (形容詞)
gift,n,禮物；天賦 (名詞)
giraffe,n,長頸鹿 (名詞)
girl,n,女孩 (名詞)
girlfriend,n,女朋友 (名詞)
give,v,給；贈送 (動詞)
give back,phr v,歸還 (片語動詞) (例如: Give me back this book on Tuesday, please.)
give in,phr v,屈服；繳交 (片語動詞) (例如: Have you given in your homework yet?; Do you give in?)
give out,phr v,分發；發出(氣味、光等) (片語動詞) (例如: Will you give out these papers for me, please?)
give up,phr v,放棄 (片語動詞) (例如: Has David given up playing tennis?)
give way,phr v,讓路；屈服 (片語動詞) (例如: You must give way to traffic at a roundabout.)
glad,adj,高興的；樂意的 (形容詞)
glance,v,瞥見；掃視 (動詞)
glass,n,玻璃；玻璃杯；眼鏡(複數) (名詞)
glass,adj,玻璃製的 (形容詞)
glasses,n pl,眼鏡 (名詞複數)
global warming,n,全球暖化 (名詞)
glove,n,手套 (名詞)
go,v,去；走；進行；變成 (動詞)
go,n,輪到(某人)的機會；嘗試 (名詞) (例如: Can I have a go?)
goal,n,目標；球門；得分 (名詞)
goalkeeper,n,守門員 (名詞)
goat,n,山羊 (名詞)
go for,phr v,選擇；爭取；適用於 (片語動詞) (例如: He went for the job.; The dog went for the man.)
gold,adj,金色的；金製的 (形容詞)
gold,n,黃金；金色 (名詞)
golden,adj,金色的；貴重的 (形容詞)
golf,n,高爾夫球 (名詞)
good,adj,好的；善良的；擅長的 (形容詞) (例如: The film was very good.; to be good at maths)
good afternoon,exclam,午安 (感嘆詞)
goodbye,exclam,再見 (感嘆詞)
good evening,exclam,晚安 (感嘆詞) (傍晚見面時說)
good-looking,adj,好看的；漂亮的 (形容詞)
good morning,exclam,早安 (感嘆詞)
good night,exclam,晚安 (感嘆詞) (睡前或道別時說)
goods,n pl,商品；貨物 (名詞複數)
go off,phr v,離開；(鬧鐘)響起；(食物)變壞；爆炸 (片語動詞) (例如: They went off to Australia.; Suddenly the lights went off.)
go on,phr v,繼續；發生 (片語動詞) (例如: The meeting went on until six o'clock.; What's going on?)
go out,phr v,出去；熄滅；約會 (片語動詞) (例如: Are you going out this evening?; The fire has gone out.; Is Barbara still going out with Thomas...?)
gorgeous,adj,華麗的；極其漂亮的 (形容詞)
government,n,政府 (名詞)
go (with/together),phr v,(衣服、顏色等)相配；搭配 (片語動詞) (例如: Your tie doesn't go with your shirt.)
grab,v,抓住；攫取 (動詞) (例如: He grabbed my bag and ran away.)
grade,n,等級；年級；成績 (名詞)
graduation,n,畢業；畢業典禮 (名詞)
gram,n,公克 (名詞)
gramme,n,公克 (名詞) (gram的英式拼法)
grammar,n,文法 (名詞)
grandchild,n,孫子/女；外孫/女 (名詞)
grandad,n,爺爺；外公 (名詞) (口語)
granddad,n,爺爺；外公 (名詞) (口語)
granddaughter,n,孫女；外孫女 (名詞)
grandfather,n,祖父；外祖父 (名詞)
grandma,n,奶奶；外婆 (名詞) (口語)
grandmother,n,祖母；外祖母 (名詞)
grandpa,n,爺爺；外公 (名詞) (口語)
grandparent,n,祖父母；外祖父母 (名詞)
grandson,n,孫子；外孫 (名詞)
granny,n,奶奶；外婆 (名詞) (口語)
grant,n,補助金；獎學金；同意 (名詞) (例如: He was given a grant to study in Australia.)
grape,n,葡萄 (名詞)
graphics,n pl,圖形；圖像 (名詞複數)
grass,n,草；草地 (名詞)
grateful,adj,感激的；感謝的 (形容詞)
great,adj,偉大的；很棒的；大量的 (形容詞)
green,adj,綠色的；環保的 (形容詞)
green,n,綠色 (名詞)
greet,v,問候；打招呼 (動詞)
greeting,n,問候；祝賀 (名詞)
grey,adj,灰色的 (形容詞) (英式拼法)
grey,n,灰色 (名詞) (英式拼法)
gray,adj,灰色的 (形容詞) (美式拼法)
gray,n,灰色 (名詞) (美式拼法)
grill,n,烤架；燒烤的食物 (名詞)
grill,v,燒烤 (動詞)
grilled,adj,燒烤的 (形容詞)
grocery store,n,雜貨店；食品店 (名詞) (美式英語)
groom,n,新郎；馬夫 (名詞)
ground,n,地面；場地；理由 (名詞)
group,n,團體；群組 (名詞)
grow,v,生長；種植；變成 (動詞)
grow up,phr v,長大成人 (片語動詞) (例如: Children grow up fast.)
guard,n,警衛；看守 (名詞)
guess,n,猜測 (名詞)
guess,v,猜測 (動詞)
guest,n,客人；賓客 (名詞)
guest-house,n,賓館；招待所 (名詞)
guide,n,導遊；指南 (名詞)
guide,v,引導；指導 (動詞)
guidebook,n,旅遊指南 (名詞)
guilty,adj,有罪的；內疚的 (形容詞)
guitar,n,吉他 (名詞)
guitarist,n,吉他手 (名詞)
gum,n,口香糖；牙齦；樹膠 (名詞) (例如: chewing gum)
gun,n,槍 (名詞)
guy,n,傢伙；人 (名詞) (口語)
gym,n,體育館；健身房 (名詞)
gymnastics,n,體操 (名詞)
habit,n,習慣 (名詞)
hair,n,頭髮；毛髮 (名詞)
haircut,n,理髮；髮型 (名詞)
hairdresser,n,美髮師 (名詞)
hairdryer,n,吹風機 (名詞)
half,adv,一半地 (副詞)
half,det,一半的 (限定詞)
half,n,一半 (名詞)
half,pron,一半 (代名詞)
half-price,adj,半價的 (形容詞)
hall,n,大廳；走廊；會堂 (名詞)
hand,n,手；指針；幫助 (名詞)
hand,v,遞；交給 (動詞)
handbag,n,手提包 (名詞) (尤指女用)
hand-held,adj,手持的 (形容詞)
hand in,phr v,繳交 (片語動詞) (例如: Please hand in the answer sheet when you've finished.)
handkerchief,n,手帕 (名詞)
handle,v,處理；操作；觸摸 (動詞)
hand out,phr v,分發 (片語動詞) (例如: Hand out the books please, Tom.)
handsome,adj,英俊的；漂亮的(指男性) (形容詞)
handwriting,n,筆跡；書法 (名詞)
hang,v,懸掛；吊死；逗留 (動詞) (例如: to hang a picture)
hang out,phr v,閒晃；廝混 (片語動詞) (例如: to hang out with friends)
hang up,phr v,掛斷(電話)；懸掛 (片語動詞) (例如: She hung up at the end of the phone call.)
happen,v,發生 (動詞)
happy,adj,快樂的；幸福的 (形容詞)
happily,adv,快樂地；幸福地 (副詞)
happiness,n,快樂；幸福 (名詞)
harbour,n,港口；海港 (名詞) (英式拼法)
harbor,n,港口；海港 (名詞) (美式拼法)
hard,adj,困難的；堅硬的；努力的 (形容詞)
hard,adv,努力地；猛烈地 (副詞)
hardly,adv,幾乎不 (副詞) (例如: hardly any time; He could hardly wait.)
hardware,n,硬體；五金器具 (名詞)
hat,n,帽子 (名詞) (有邊的)
hate,v,憎恨；厭惡 (動詞)
have,av,已經 (助動詞，用於完成式)
have,v,有；吃；喝；進行 (動詞)
have got to,mv,必須 (情態助動詞) (同have to)
have to,mv,必須 (情態助動詞)
he,pron,他 (代名詞)
head,n,頭；首長；前端 (名詞) (例如: to hit one's head; the head of the company; the head of the school)
headache,n,頭痛 (名詞)
headline,n,標題；頭條新聞 (名詞)
headphones,n pl,耳機 (名詞複數)
headteacher,n,校長 (名詞) (英式)
health,n,健康 (名詞)
healthy,adj,健康的 (形容詞)
hear,v,聽到；聽說 (動詞)
heart,n,心臟；內心；中心 (名詞)
heat,n,熱；熱度 (名詞)
heater,n,暖氣機；加熱器 (名詞)
heating,n,暖氣系統；加熱 (名詞)
heavy,adj,重的；大量的；濃的 (形容詞)
heel,n,腳後跟；(鞋)後跟 (名詞) (例如: I can't walk in high heels.)
height,n,高度；身高 (名詞)
helicopter,n,直升機 (名詞)
hello,exclam,哈囉；你好 (感嘆詞)
helmet,n,頭盔；安全帽 (名詞)
help,n,幫助 (名詞)
help,v,幫助 (動詞)
her,det,她的 (限定詞)
her,pron,她(受格)；她的(所有格代名詞，少用) (代名詞)
herb,n,藥草；香草 (名詞)
here,adv,這裡；在這裡 (副詞)
hero,n,英雄；男主角 (名詞)
heroine,n,女英雄；女主角 (名詞) (例如: The heroine of this story is a young schoolgirl.)
hers,pron,她的(東西) (代名詞)
herself,pron,她自己 (代名詞) (反身代名詞)
hey,exclam,嘿；喂 (感嘆詞)
hi,exclam,嗨；你好 (感嘆詞)
hidden,adj,隱藏的 (形容詞)
hide,v,躲藏；隱瞞 (動詞)
high,adj,高的；高級的 (形容詞)
high,adv,高高地 (副詞)
hike,v,健行；徒步旅行 (動詞)
hill,n,小山丘 (名詞)
him,pron,他(受格) (代名詞)
himself,pron,他自己 (代名詞) (反身代名詞)
hip hop,n,嘻哈音樂 (名詞)
hire,v,租用；僱用 (動詞)
hire,n,租用；租金 (名詞) (例如: to hire a boat; for hire)
his,det,他的 (限定詞)
his,pron,他的(東西) (代名詞)
historic,adj,歷史性的；有歷史意義的 (形容詞)
historical,adj,歷史的；有關歷史的 (形容詞)
history,n,歷史 (名詞)
hit,n,打擊；成功的事物；點擊(網路) (名詞) (例如: The song was a great hit.)
hit,v,打；撞擊；達到 (動詞) (例如: to hit the ball)
hitchhike,v,搭便車旅行 (動詞)
hobby,n,嗜好；興趣 (名詞)
hockey,n,曲棍球 (名詞)
hold,v,握住；舉行；容納；保持 (動詞)
hold up,phr v,耽擱；舉起；搶劫 (片語動詞) (例如: He was held up in the heavy traffic for over two hours.)
hole,n,洞；孔 (名詞)
holiday,n,假日；假期 (名詞)
home,adv,回家；在家 (副詞)
home,n,家；家庭 (名詞)
homepage,n,首頁；主頁 (名詞)
homework,n,家庭作業 (名詞)
honest,adj,誠實的 (形容詞)
honestly,adv,誠實地；說真的 (副詞) (例如: I honestly don't know where she is.)
honey,n,蜂蜜；甜心 (名詞)
honeymoon,n,蜜月 (名詞)
hope,n,希望 (名詞)
hope,v,希望 (動詞)
hopeful,adj,充滿希望的 (形容詞)
hopefully,adv,懷著希望地；但願 (副詞) (例如: Hopefully the journey won't take long.)
hopeless,adj,絕望的；無能的 (形容詞) (例如: a hopeless situation)
horrible,adj,可怕的；糟透的 (形容詞)
horror,adj,恐怖的 (形容詞) (例如: a horror movie)
horse,n,馬 (名詞)
hospital,n,醫院 (名詞)
hostel,n,青年旅館；招待所 (名詞)
hot,adj,熱的；辣的；熱門的 (形容詞)
hotel,n,旅館；飯店 (名詞)
hour,n,小時 (名詞)
house,n,房子；住家 (名詞)
housewife,n,家庭主婦 (名詞)
housework,n,家事 (名詞)
how,adv,如何；怎麼樣；多麼 (副詞)
however,adv,然而；不過；無論如何 (副詞)
how much,adv,多少(問價格或不可數數量) (副詞)
hug,n,擁抱 (名詞)
hug,v,擁抱 (動詞)
huge,adj,巨大的；龐大的 (形容詞)
human,adj,人的；人類的 (形容詞)
human,n,人；人類 (名詞)
humid,adj,潮濕的 (形容詞)
hunger,n,飢餓；渴望 (名詞)
hungry,adj,飢餓的 (形容詞)
hunt,v,打獵；搜尋 (動詞)
hurry,n,匆忙；倉促 (名詞)
hurry,v,匆忙；趕快 (動詞)
hurt,adj,受傷的；疼痛的 (形容詞)
hurt,v,傷害；使疼痛 (動詞)
husband,n,丈夫 (名詞)
hut,n,小屋；棚屋 (名詞)
I,pron,我 (代名詞)
ice,n,冰 (名詞)
ice cream,n,冰淇淋 (名詞)
ice hockey,n,冰上曲棍球 (名詞)
ice skates,n pl,溜冰鞋 (名詞複數)
ice skating,n,溜冰 (名詞)
icy,adj,結冰的；冰冷的 (形容詞)
ID,n,身分證明 (名詞) (identification的縮寫)
ID card,n,身分證 (名詞)
idea,n,想法；主意；概念 (名詞)
identification,n,識別；身分證明 (名詞)
identify,v,識別；確認；認同 (動詞) (例如: Babies can identify their mothers.)
identity card,n,身分證 (名詞) (同ID card)
if,conj,如果；是否 (連接詞)
ignore,v,忽略；不理睬 (動詞)
ill,adj,生病的；壞的 (形容詞)
illness,n,疾病 (名詞)
imagination,n,想像力 (名詞)
imagine,v,想像 (動詞)
immediately,adv,立刻；馬上 (副詞)
immigration,n,移民(入境) (名詞)
importance,n,重要性 (名詞)
important,adj,重要的 (形容詞)
impossible,adj,不可能的 (形容詞)
impressed (by/with),adj,印象深刻的；欽佩的 (形容詞)
improve,v,改善；進步 (動詞)
improvement,n,改善；進步 (名詞)
in,adv,在裡面；進來 (副詞)
in,prep,在...裡面；在...(時間) (介係詞)
in advance,prep phr,預先；事先 (介片語)
in case,adv,以防萬一 (副詞片語)
in case,conj,萬一；倘若 (連接詞)
inch,n,英寸 (名詞)
include,v,包含；包括 (動詞)
including,prep,包括；包含 (介係詞)
incorrect,adj,不正確的；錯誤的 (形容詞)
increase,v,增加；增長 (動詞)
incredible,adj,難以置信的；極好的 (形容詞)
incredibly,adv,難以置信地；非常 (副詞) (例如: The team played incredibly well.)
indeed,adv,確實；的確 (副詞)
independent,adj,獨立的；自主的 (形容詞)
individual,adj,個別的；個人的 (形容詞)
indoor,adj,室內的 (形容詞)
indoors,adv,在室內 (副詞)
industry,n,工業；產業 (名詞)
in fact,prep phr,事實上；實際上 (介片語)
influence,n,影響；影響力 (名詞)
influence,v,影響 (動詞)
inform,v,通知；告知 (動詞)
information,n,資訊；情報 (名詞) (不可數)
in front of,prep phr,在...前面 (介片語)
ingredient,n,成分；原料；因素 (名詞) (例如: I always use fresh ingredients)
in half,prep phr,成兩半 (介片語)
in ink,prep phr,用墨水 (介片語)
initial,n,首字母；開頭字母 (名詞) (例如: His initials are J.B.H.)
injure,v,傷害；使受傷 (動詞)
ink,n,墨水 (名詞)
in love,prep phr,戀愛中 (介片語)
in pencil,prep phr,用鉛筆 (介片語)
in order,prep phr,按順序；井然有序 (介片語)
in order to,prep phr,為了 (介片語)
inquiry,n,詢問；調查 (名詞) (同enquiry)
insect,n,昆蟲 (名詞)
inside,adv,在裡面 (副詞)
inside,prep,在...裡面 (介係詞)
insist,v,堅持 (動詞)
inspire,v,啟發；鼓舞 (動詞) (例如: She inspired him to become an actor.)
install,v,安裝 (動詞)
instance,n,例子；實例 (名詞) (例如: for instance)
instead (of),adv,代替；反而 (副詞/介片語) (例如: There were no lemons so I got oranges instead.; Can you come on Monday instead of Tuesday?)
instructions,n pl,指示；說明書 (名詞複數)
instructor,n,教練；指導員 (名詞)
instrument,n,樂器；儀器；工具 (名詞) (例如: musical instrument)
intelligent,adj,聰明的；有才智的 (形容詞)
intend,v,打算；計畫 (動詞) (例如: to intend to do something)
interest,n,興趣；利益；利息 (名詞)
interest,v,使感興趣 (動詞)
interested,adj,感興趣的 (形容詞)
interesting,adj,有趣的；令人感興趣的 (形容詞)
intermediate,adj,中級的；中間的 (形容詞)
international,adj,國際的 (形容詞)
internet,n,網際網路 (名詞)
interrupt,v,打斷；中斷 (動詞)
interval,n,間隔；(戲劇、音樂會)幕間休息 (名詞) (例如: an interval in a play)
interview,n,面試；訪談 (名詞)
interview,v,面試；訪談 (動詞)
in the end,prep phr,最後；終於 (介片語)
in time,prep phr,及時 (介片語)
into,prep,進入；到...裡面 (介係詞)
introduce,v,介紹；引進 (動詞)
introduction,n,介紹；引進；緒論 (名詞)
in two,prep phr,分成兩半 (介片語)
invent,v,發明；創造 (動詞)
invention,n,發明；創造物 (名詞)
invitation,n,邀請；請帖 (名詞)
invite,v,邀請 (動詞)
involve,v,包含；牽涉 (動詞)
iron,n,鐵；熨斗 (名詞)
iron,v,熨燙 (動詞)
ironing,n,熨燙衣服 (名詞)
island,n,島嶼 (名詞)
issue,n,議題；問題；(雜誌)期號 (名詞)
IT,n,資訊科技 (名詞) (Information Technology)
it,pron,它 (代名詞)
item,n,項目；物品 (名詞)
its,det,它的 (限定詞)
itself,pron,它自己 (代名詞) (反身代名詞)
jacket,n,夾克；外套 (名詞)
jail,n,監獄 (名詞) (美式英語)
jam,n,果醬；擁塞 (名詞) (例如: strawberry jam; traffic jam)
jar,n,罐子；廣口瓶 (名詞)
jazz,n,爵士樂 (名詞)
jealous,adj,嫉妒的；猜忌的 (形容詞)
jeans,n pl,牛仔褲 (名詞複數)
jet,n,噴射機；噴射口 (名詞) (例如: to go by jet (plane))
jewellery,n,珠寶首飾 (名詞) (英式拼法，不可數)
jewelry,n,珠寶首飾 (名詞) (美式拼法，不可數)
job,n,工作；職業 (名詞)
jog,v,慢跑 (動詞)
jogging,n,慢跑 (名詞)
join,v,加入；連接；參加 (動詞) (例如: The rivers join there.; to join the army; to join (in) a game)
joke,n,笑話；玩笑 (名詞)
joke,v,開玩笑 (動詞)
journalist,n,記者 (名詞)
journey,n,旅行；旅程 (名詞)
judge,n,法官；裁判 (名詞)
judge,v,判斷；審判 (動詞)
jug,n,壺；罐 (名詞) (有柄及傾口的)
juice,n,果汁；汁液 (名詞)
jump,n,跳躍 (名詞)
jump,v,跳躍 (動詞)
jumper,n,套頭毛衣 (名詞) (英式)
jungle,n,叢林 (名詞)
just,adv,剛才；僅僅；正好；公平地 (副詞)
kangaroo,n,袋鼠 (名詞)
keen,adj,熱衷的；渴望的；敏銳的 (形容詞) (例如: He's keen on cycling.; to be keen to do something)
keep,v,保持；繼續；遵守；飼養 (動詞)
keeper,n,看守人；管理員；飼養員 (名詞)
keep in,phr v,使留在室內；隱瞞 (片語動詞) (例如: She kept the children in as it was so cold.)
keep on,phr v,繼續 (片語動詞) (例如: He kept on talking.)
keep up,phr v,繼續；跟上；維持 (片語動詞) (例如: Keep up the good work!)
kettle,n,水壺 (名詞)
key,n,鑰匙；關鍵；琴鍵；答案 (名詞) (例如: key to a lock; key to success)
keyboard,n,鍵盤 (名詞) (例如: computer keyboard; keyboard music)
kick,n,踢 (名詞)
kick,v,踢 (動詞)
kid,n,小孩；小山羊 (名詞) (口語) (例如: We're taking the kids camping.)
kill,v,殺死 (動詞)
kilogramme,n,公斤 (名詞) (英式拼法 kg)
kilogram,n,公斤 (名詞) (美式拼法 kg)
kilometre,n,公里 (名詞) (英式拼法 km)
kilometer,n,公里 (名詞) (美式拼法 km)
kind,adj,親切的；友善的 (形容詞)
kind,n,種類 (名詞)
king,n,國王 (名詞)
kiss,n,吻 (名詞)
kiss,v,親吻 (動詞)
kit,n,成套工具；裝備 (名詞)
kitchen,n,廚房 (名詞)
kite,n,風箏 (名詞)
kitten,n,小貓 (名詞)
knee,n,膝蓋 (名詞)
knife,n,刀子 (名詞)
knit,v,編織 (動詞)
knock,v,敲；撞 (動詞)
knock down,phr v,撞倒；拆除；降價 (片語動詞) (例如: He was knocked down by a car.)
know,v,知道；認識；了解 (動詞)
knowledge,n,知識；學問 (名詞)
label,n,標籤 (名詞)
laboratory,n,實驗室 (名詞)
lab,n,實驗室 (名詞) (laboratory的縮寫)
lack,n,缺乏；不足 (名詞)
ladder,n,梯子 (名詞)
lady,n,女士；淑女 (名詞)
lake,n,湖 (名詞)
lamb,n,小羊；羊肉 (名詞)
lamp,n,燈 (名詞)
land,n,陸地；土地；國家 (名詞)
land,v,登陸；降落 (動詞)
landscape,n,風景；景色 (名詞)
language,n,語言 (名詞)
laptop,n,筆記型電腦 (名詞)
large,adj,大的；大量的 (形容詞)
last,adj,最後的；上一個的 (形容詞)
last,adv,最後地；上一次 (副詞)
last,det,最後的 (限定詞)
last,v,持續 (動詞)
late,adj,晚的；遲的；已故的 (形容詞)
late,adv,晚地；遲地 (副詞)
lately,adv,最近；近來 (副詞)
later,adj,較晚的；以後的 (形容詞)
later,adv,稍後；後來 (副詞)
latest,adj,最新的；最近的 (形容詞)
laugh,n,笑；笑聲 (名詞)
laugh,v,笑 (動詞)
law,n,法律 (名詞)
lawyer,n,律師 (名詞)
lay,v,放置；鋪設；下蛋 (動詞) (例如: lay the table)
lazy,adj,懶惰的 (形容詞)
lead,v,引導；領導；通往 (動詞) (例如: to lead someone by the hand; Where does this road lead?)
leader,n,領導者；領袖 (名詞)
leaf,n,葉子 (名詞)
league,n,聯盟；聯賽 (名詞)
learn,v,學習 (動詞)
least,adj,最少的 (形容詞) (little的最高級)
least,adv,最少地 (副詞) (little的最高級) (例如: at least 至少)
leather,n,皮革 (名詞)
leave,v,離開；留下；遺忘 (動詞)
lecture,n,演講；講課 (名詞)
left,n,左邊 (名詞)
left,adj,左邊的；剩下的 (形容詞)
left,adv,向左 (副詞)
left-hand,adj,左手的；左側的 (形容詞)
leg,n,腿 (名詞)
leisure,n,休閒；空閒 (名詞)
lemon,n,檸檬 (名詞)
lemonade,n,檸檬水 (名詞)
lend,v,借出 (動詞)
length,n,長度；一段時間 (名詞)
less,adv,較少地 (副詞) (little的比較級)
less,det,較少的 (限定詞) (little的比較級，與不可數名詞連用)
less,pron,較少的量 (代名詞)
lesson,n,課；教訓 (名詞)
let,v,讓；允許 (動詞) (例如: Let her do it.; Let me think.; Let's go out tonight.)
letter,n,信；字母 (名詞)
lettuce,n,萵苣；生菜 (名詞)
level,n,水平；程度；樓層 (名詞)
library,n,圖書館 (名詞)
licence,n,執照；許可證 (名詞) (英式拼法) (例如: a driving/marriage/TV licence)
license,n,執照；許可證 (名詞) (美式拼法)
lie,n,謊言 (名詞)
lie,v,說謊；躺臥；位於 (動詞)
lie down,phr v,躺下 (片語動詞)
life,n,生活；生命；人生 (名詞)
lift,n,電梯(英式)；搭便車；舉起 (名詞) (例如: Can you give me a lift, please?; The lift is going up.)
lift,v,舉起；抬起；(霧等)消散 (動詞) (例如: Please help me to lift this table.)
light,adj,輕的；淺色的；明亮的 (形容詞)
light,n,光線；燈 (名詞)
light,v,點燃；照亮 (動詞)
lighter,n,打火機 (名詞) (例如: a cigarette lighter)
lightning,n,閃電 (名詞)
like,prep,像；如同 (介係詞)
like,v,喜歡 (動詞)
likely,adj,可能的；有希望的 (形容詞)
limit,n,限制；界限 (名詞)
limit,v,限制 (動詞)
limited,adj,有限的 (形容詞) (例如: a limited choice)
line,n,線；隊伍；界線；行業；鐵路線 (名詞) (例如: a line on a page; a clothes line; a railway line)
link,n,連結；聯繫 (名詞) (例如: a link to a website)
lion,n,獅子 (名詞)
lip,n,嘴唇 (名詞)
liquid,n,液體 (名詞)
list,n,清單；目錄 (名詞)
listen,v,聽；傾聽 (動詞) (常與to連用)
literature,n,文學 (名詞)
litre,n,公升 (名詞) (英式拼法)
liter,n,公升 (名詞) (美式拼法)
litter,n,垃圾；雜物 (名詞) (尤指戶外亂丟的)
little,adj,小的；少的；年幼的 (形容詞)
little,det,很少的 (限定詞) (與不可數名詞連用)
little,pron,很少量 (代名詞)
live,v,居住；生活；活著 (動詞)
live,adj,現場直播的；活的 (形容詞) (例如: live music/sport)
lively,adj,活潑的；熱鬧的 (形容詞)
living room,n,客廳 (名詞)
load,n,負荷；裝載量 (名詞)
loan,n,貸款；借款 (名詞)
local,adj,當地的；本地的 (形容詞)
locate,v,位於；找出...的位置 (動詞) (例如: The station is located in the city centre.)
location,n,位置；地點 (名詞)
lock,n,鎖 (名詞)
lock,v,鎖上 (動詞)
locker,n,置物櫃 (名詞)
logo,n,標誌；商標 (名詞)
lonely,adj,寂寞的；孤獨的 (形容詞)
long,adj,長的；長久的 (形容詞)
look,n,看；表情；外表 (名詞)
look,v,看；看起來 (動詞)
look after,phr v,照顧 (片語動詞) (例如: I'm looking after my sister's house while she's on holiday?)
look at,phr v,看著；考慮 (片語動詞)
look for,phr v,尋找 (片語動詞)
look forward to,phr v,期待；盼望 (片語動詞) (例如: I'm looking forward to the party!)
look like,v,看起來像 (動詞) (例如: She looks like her sister.)
look out,phr v,小心；當心 (片語動詞) (例如: Look out!)
look up,phr v,查閱；仰望；拜訪 (片語動詞) (例如: Look up the meaning of the word in your dictionary.)
loose,adj,鬆的；寬鬆的 (形容詞)
lorry,n,卡車；貨車 (名詞) (英式英語)
lose,v,失去；輸掉；迷路 (動詞)
lost,adj,迷路的；遺失的；輸掉的 (形容詞)
lots,n,許多；大量 (名詞) (lots / a lot)
lottery,n,彩券；抽獎 (名詞)
loud,adj,大聲的 (形容詞)
loudly,adv,大聲地 (副詞)
love,n,愛；喜愛 (名詞)
love,v,愛；喜愛 (動詞)
lovely,adj,可愛的；美好的 (形容詞)
low,adj,低的；矮的 (形容詞)
luck,n,運氣；幸運 (名詞)
luckily,adv,幸運地 (副詞)
lucky,adj,幸運的 (形容詞)
luggage,n,行李 (名詞) (不可數，尤指英式英語)
lunch,n,午餐 (名詞)
lunchtime,n,午餐時間 (名詞)
luxury,n,奢侈；奢侈品 (名詞)
machine,n,機器 (名詞)
mad,adj,瘋狂的；生氣的 (形容詞)
Madam,n,女士；夫人 (名詞) (尊稱)
made of,v phr,由...製成(看得出原料) (動詞片語) (例如: Her shirt is made of cotton.)
made from,v phr,由...製成(看不出原料) (動詞片語)
made out of,v phr,由...製成(強調材料來源) (動詞片語)
magazine,n,雜誌 (名詞)
magic,adj,魔術的；有魔力的 (形容詞)
magic,n,魔術；魔法 (名詞)
magnificent,adj,壯麗的；宏偉的 (形容詞)
mail,n,郵件(尤指美式)；盔甲 (名詞)
mail,v,郵寄(尤指美式) (動詞)
main,adj,主要的；最重要的 (形容詞)
main course,n,主菜 (名詞)
make,v,製作；使得；賺取 (動詞)
make sure,v phr,確保；查明 (動詞片語)
make-up,n,化妝品；化妝 (名詞)
male,adj,男性的；雄性的 (形容詞)
male,n,男性；雄性動物 (名詞)
mall,n,購物中心 (名詞) (尤指美式) (例如: shopping mall)
man,n,男人；人類 (名詞)
manage,v,管理；設法做到；經營 (動詞) (例如: to manage a business; to manage to do something (succeed in))
manager,n,經理；管理人 (名詞)
mango,n,芒果 (名詞)
many,det,許多的 (限定詞) (與可数名詞連用)
many,pron,許多人/物 (代名詞)
map,n,地圖 (名詞)
mark,n,標記；符號；分數 (名詞)
market,n,市場 (名詞) (例如: to buy something from a market)
marriage,n,婚姻 (名詞)
married,adj,已婚的 (形容詞)
marry,v,結婚 (動詞)
marvellous,adj,絕妙的；了不起的 (形容詞) (英式拼法)
marvelous,adj,絕妙的；了不起的 (形容詞) (美式拼法)
match,n,比賽；火柴；相配的人/物 (名詞) (例如: a box of matches; a tennis match)
match,v,相配；比得上 (動詞) (例如: This tie matches your shirt.)
mate,n,夥伴；朋友；配偶 (名詞) (口語，尤指英式、澳式)
material,n,材料；原料；資料 (名詞)
maths,n,數學 (名詞) (英式英語)
mathematics,n,數學 (名詞)
math,n,數學 (名詞) (美式英語)
matter,n,事情；問題；物質 (名詞) (例如: Is anything the matter?)
matter,v,要緊；有關係 (動詞) (例如: It doesn't matter.)
maximum,adj,最大的；最高的 (形容詞)
maximum,n,最大量；最高點 (名詞)
may,mv,可以；可能 (情態助動詞)
maybe,adv,或許；可能 (副詞)
me,pron,我(受格) (代名詞)
meal,n,一餐；膳食 (名詞)
mean,v,意思是；意指；打算 (動詞) (例如: What do you mean?; What does it mean?)
meaning,n,意義；意思 (名詞)
meanwhile,adv,同時；在此期間 (副詞)
measure,v,測量；衡量 (動詞)
meat,n,肉類 (名詞)
mechanic,n,技工；機械師 (名詞)
medicine,n,藥；醫學 (名詞)
medium,adj,中等的；適中的 (形容詞)
meet,v,遇見；開會；符合 (動詞)
meeting,n,會議；會面 (名詞)
melon,n,瓜(如西瓜、哈密瓜) (名詞)
member,n,成員；會員 (名詞)
membership,n,會員資格；全體會員 (名詞)
memory,n,記憶；記憶力；回憶 (名詞) (例如: to have a good/poor memory; happy memories; computer memory)
mend,v,修理；修補 (動詞) (尤指英式)
mention,v,提及；說起 (動詞)
menu,n,菜單 (名詞)
mess,n,混亂；髒亂 (名詞)
message,n,訊息；消息 (名詞)
messy,adj,骯髒的；凌亂的 (形容詞)
metal,n,金屬 (名詞)
method,n,方法；方式 (名詞) (例如: modern methods of teaching)
metre,n,公尺；米 (名詞) (英式拼法)
meter,n,公尺；米；計量器 (名詞) (美式拼法)
microwave,n,微波爐；微波 (名詞) (例如: a microwave oven)
midday,n,中午 (名詞)
middle,n,中間；中部 (名詞)
middle-aged,adj,中年的 (形容詞)
