英文詞彙,詞性,中文解釋
uncle,n,叔叔；伯伯；舅舅；姑父；姨父 (名詞)
under,prep,在...下面 (介係詞)
underground,n,地鐵 (英式)；地下 (名詞)
underground,adj,地下的 (形容詞)
understand,v,理解；明白 (動詞)
uniform,n,制服 (名詞)
university,n,大學 (名詞)
until,prep,直到...為止 (介係詞)
up,prep,向上；沿著...往上 (介係詞)
up,adv,向上；起床 (副詞)
upstairs,adv,在樓上；往樓上 (副詞)
us,pron,我們 (受格) (代名詞)
use,v,使用；利用 (動詞)
useful,adj,有用的 (形容詞)
usual,adj,通常的；平常的 (形容詞)
v / versus,prep,對；對抗 (介係詞) (例如：Manchester United v Liverpool 曼聯對利物浦)
variety,n,多樣性；種類 (名詞)
vegetable,n,蔬菜 (名詞)
very,adv,非常；很 (副詞)
video,n,影片；錄影帶 (名詞)
video recorder,n,錄影機 (名詞)
village,n,村莊 (名詞)
violin,n,小提琴 (名詞)
visit,v,拜訪；參觀 (動詞)
visitor,n,訪客；遊客 (名詞)
volleyball,n,排球 (名詞)
wait,v,等待 (動詞)
waiter,n,男服務生 (名詞)
waitress,n,女服務生 (名詞)
wake up,phr v,醒來；叫醒 (動詞片語)
walk,v,走路；散步 (動詞)
wall,n,牆壁 (名詞)
wallet,n,皮夾 (尤指男用) (名詞)
want,v,想要 (動詞)
warm,adj,溫暖的 (形容詞)
wash,v,洗 (動詞)
wash up,phr v,洗碗碟 (英式) (動詞片語)
watch,n,手錶；觀看 (名詞)
watch,v,觀看；注視 (動詞)
water,n,水 (名詞)
way,n,路；方法；方向 (名詞) (例如：Do it this way. 這樣做。; one-way street 單行道; Is this the quickest way home? 這是回家最快的路嗎？)
we,pron,我們 (代名詞)
wear,v,穿；戴 (動詞)
weather,n,天氣 (名詞)
website,n,網站 (名詞)
wedding,n,婚禮 (名詞)
week,n,星期；週 (名詞)
weekday,n,平日；工作日 (名詞)
weekend,n,週末 (名詞)
weekly,adj,每週的 (形容詞)
weekly,adv,每週地 (副詞)
welcome,v,歡迎 (動詞) (例如：Welcome to London! 歡迎來到倫敦！)
well,adv,好地；充分地 (副詞)
well,adj,健康的；好的 (形容詞)
west,n,西方；西部 (名詞)
west,adj,西方的 (形容詞)
west,adv,向西 (副詞)
wet,adj,濕的 (形容詞)
whale,n,鯨魚 (名詞)
what,det,什麼 (限定詞)
what,pron,什麼 (代名詞)
wheel,n,輪子 (名詞)
when,adv,何時；當...時候 (副詞)
where,adv,何地；在哪裡 (副詞)
which,det,哪個；哪些 (限定詞)
which,pron,哪個；哪些 (代名詞)
while,conj,當...的時候；然而 (連接詞)
white,adj,白色的 (形容詞)
who,pron,誰 (代名詞)
whole,adj,全部的；整個的 (形容詞) (例如：the whole world 全世界)
whole,n,全部；整體 (名詞) (例如：the whole of July 整個七月)
whose,pron,誰的 (代名詞)
why,adv,為什麼 (副詞)
wife,n,妻子 (名詞)
wild,adj,野生的；狂野的 (形容詞) (例如：wild animals 野生動物)
will ('ll),v,將要；願意 (助動詞)
win,v,贏得 (動詞)
wind,n,風 (名詞)
window,n,窗戶 (名詞)
windsurfing,n,風帆運動 (名詞)
windy,adj,多風的 (形容詞)
winter,n,冬天 (名詞)
wishes,n pl,祝福；願望 (複數名詞) (例如：Best wishes 最好的祝福)
with,prep,和...一起；帶有；用 (介係詞)
without,prep,沒有；不帶 (介係詞)
woman,n,女人 (名詞)
wonderful,adj,極好的；精彩的 (形容詞)
wood,n,木頭；樹林 (名詞)
wool,n,羊毛 (名詞)
word,n,字；詞；話 (名詞)
work,n,工作；作品 (名詞)
work,v,工作；運作 (動詞)
world,n,世界 (名詞)
worry,v,擔心；煩惱 (動詞)
would,v,將會 (will的過去式)；願意 (助動詞)
write,v,寫 (動詞)
write down,phr v,寫下來；記下 (動詞片語)
wrong,adj,錯誤的；不對的 (形容詞)
year,n,年 (名詞)
yellow,adj,黃色的 (形容詞)
yes,exclam,是的；好的 (感嘆詞)
yesterday,n,昨天 (名詞)
yesterday,adv,昨天 (副詞)
yet,adv,還(沒)；然而 (副詞) (例如：Has he arrived yet? 他到了嗎？)
you,pron,你；你們 (代名詞)
young,adj,年輕的 (形容詞)
your,det,你的；你們的 (限定詞)
yours,pron,你的；你們的 (所有格代名詞)
yourself,pron,你自己 (反身代名詞)
zero,n,零 (名詞)
zoo,n,動物園 (名詞)
